"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag","N_b05","N_b02","NA"
"845",845,"P25311","f[(1)](id, age), f[(2)](age)",0.482,0.135,0.003,0.027,0.003,0.349,1.002,189,21,11,0,1,11,0
"846",846,"P25391","f[(1)](id, age)",0.386,0.005,0.021,0.008,0.005,0.574,1.003,189,21,11,0,5,9,0
"847",847,"P25774","f[(1)](id, age)",0.476,0.024,0.004,0.005,0.002,0.489,1.002,189,21,11,0,4,11,0
"848",848,"P25786","f[(1)](id, age)",0.453,0.021,0.006,0.003,0.001,0.516,1.002,189,21,11,0,4,11,0
"849",849,"P25788","f[(1)](id, age), f[(2)](age)",0.351,0.055,0.01,0.008,0.002,0.574,1.002,189,21,11,0,5,11,0
"850",850,"P25789","f[(1)](id, age)",0.732,0,0.002,0.001,0.001,0.264,1.003,189,21,11,0,2,11,0
"851",851,"P26022","f[(1)](id, age), f[(5)](group), f[(4)](sex, age)",0.592,0.002,0.033,0.04,0.069,0.264,1.003,153,17,10,0,3,8,0
"852",852,"P26038","f[(1)](id, age), f[(2)](age)",0.09,0.065,0.005,0.014,0.001,0.826,1.002,189,21,11,0,3,11,0
"853",853,"P26447","f[(2)](age)",0.014,0.294,0.009,0.003,0.002,0.678,1.005,189,21,11,0,2,11,0
"854",854,"P26572","f[(1)](id, age), f[(5)](group), f[(2)](age)",0.328,0.056,0.02,0.006,0.08,0.51,1.003,189,21,11,0,4,11,0
"855",855,"P26639","f[(2)](age), f[(5)](group), f[(1)](id, age)",0.027,0.04,0.006,0.022,0.033,0.872,1.003,162,18,11,0,2,11,0
"856",856,"P26992","f[(1)](id, age), f[(2)](age)",0.464,0.164,0.005,0.007,0.002,0.357,1.002,189,21,11,0,4,11,0
"857",857,"P27169","f[(1)](id, age), f[(2)](age)",0.415,0.073,0.005,0.035,0,0.471,1.002,189,21,11,0,1,11,0
"858",858,"P27348","f[(2)](age), f[(1)](id, age)",0.033,0.064,0.006,0.029,0.013,0.855,1.002,189,21,11,0,2,11,0
"859",859,"P27487","f[(1)](id, age), f[(2)](age)",0.718,0.077,0.001,0.013,0.002,0.189,1.003,189,21,11,0,0,11,0
"860",860,"P27797","f[(1)](id, age), f[(2)](age)",0.133,0.032,0.003,0.021,0,0.811,1.004,189,21,11,0,2,11,0
"861",861,"P27824","f[(1)](id, age), f[(5)](group)",0.5,0.038,0.003,0.002,0.065,0.393,1.002,144,16,10,0,2,10,0
"862",862,"P27918","f[(1)](id, age), f[(2)](age)",0.555,0.106,0.002,0.012,0,0.324,1.002,189,21,11,0,3,11,0
"863",863,"P27930","f[(1)](id, age), f[(2)](age)",0.594,0.106,0.002,0.008,0.009,0.281,1.003,189,21,11,0,2,11,0
"864",864,"P28062","f[(1)](id, age)",0.814,0.008,0.003,0.007,0.019,0.15,1.002,117,13,3,0,0,3,0
"865",865,"P28066","f[(1)](id, age), f[(2)](age)",0.496,0.031,0.011,0.007,0.002,0.452,1.002,189,21,11,0,4,10,0
"866",866,"P28070","f[(1)](id, age), f[(2)](age)",0.396,0.052,0.03,0.002,0.007,0.512,1.002,180,20,10,0,5,6,0
"867",867,"P28072","f[(1)](id, age), f[(2)](age)",0.646,0.094,0.003,0.003,0.001,0.253,1.002,189,21,11,0,1,11,0
"868",868,"P28074","f[(1)](id, age), f[(2)](age)",0.612,0.114,0.002,0.03,0.002,0.24,1.002,189,21,11,0,4,11,0
