"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag"
"24",24,"Q3LXA3","f[(1)](id, age), f[(5)](group)",0.159,0.022,0.003,0.004,0.032,0.78,1.001,189,21,11,0
"25",25,"P49720","f[(1)](id, age), f[(5)](group), f[(4)](sex, age)",0.573,0.01,0.003,0.051,0.053,0.31,1.002,162,18,9,0
"26",26,"P07203","f[(2)](age), f[(1)](id, age)",0.123,0.254,0.01,0.004,0.006,0.602,1.001,189,21,11,0
"27",27,"O95196","f[(2)](age), f[(1)](id, age)",0.128,0.591,0.004,0.001,0.007,0.269,1.001,99,11,4,0
"28",28,"Q8IYS5","f[(1)](id, age), f[(5)](group)",0.456,0.009,0,0.003,0.106,0.425,1.001,178,20,10,0
"29",29,"Q5T123","f[(2)](age), f[(1)](id, age)",0.062,0.097,0.002,0.018,0.001,0.819,1.002,189,21,11,0
"30",30,"P01857","f[(1)](id, age), f[(4)](sex, age)",0.379,0.002,0.007,0.036,0.006,0.57,1.001,189,21,11,0
"31",31,"P15941","f[(1)](id, age), f[(5)](group), f[(2)](age)",0.66,0.02,0.013,0.019,0.051,0.237,1.001,126,14,10,0
"32",32,"Q14517","f[(1)](id, age), f[(2)](age)",0.668,0.099,0.006,0.007,0.001,0.218,1.003,189,21,11,0
"33",33,"Q00610","f[(2)](age), f[(1)](id, age)",0.067,0.165,0.018,0.008,0.002,0.74,1.002,171,19,11,0
"34",34,"Q13477","f[(1)](id, age), f[(2)](age)",0.38,0.356,0.001,0.001,0.005,0.256,1.002,189,21,11,0
"35",35,"Q9P2T1","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.1,0.082,0.006,0.035,0.022,0.755,1.002,117,13,5,0
"36",36,"P23470","f[(1)](id, age), f[(5)](group)",0.823,0.013,0.002,0.007,0.031,0.123,1.003,189,21,11,0
"37",37,"Q15833","f[(2)](age), f[(1)](id, age)",0.028,0.029,0.001,0.008,0.02,0.913,1.003,171,19,10,0
